,Subject_num,Subject_origin,Subject_residence,Mu,Regime,Average_degree,Betweenness,Closeness,Load centrality,Assortativity,Clustering,Number_components,Size_largest_component,Closeness_residence,Number_residence,Closeness_origin,Number_origin,SEX,AGE,BORN,DAD,MOM,MARR,CHILD,CBORN,CMOM,EMP,EDUC,FMIG,TVIS,VEU,SPAN,NLAN,SASS,HASS,HMUS,SMUS,HTV,STV,SMOV,HMOV,NREA,RSPA,WNAT,WSPA,TSPA,TNAT,CHOM,CSPA,FID,MID,FGRO,FSPA,HCOO,NSPA,FHOM,IANG,IHYP,ISPA,SMON,WREC,BNEW,HEA,SMOK,TALL,KILO,VDOC,DEP1,DEP2,DEP3,DEP4,DEP5,DEP6,DEP7,HEAL,RACE,PAP,DEP,REAS,RACM,SGOO,RELG,ASEX01N,ASEX01P,ASEX02N,ASEX02P,ASEXN8N,ASEXN8P,ASEXN9N,ASEXN9P,ARAC01N,ARAC01P,ARAC02N,ARAC02P,ARAC03N,ARAC03P,ARAC04N,ARAC04P,AOL201N,AOL201P,AOL202N,AOL202P,AOL203N,AOL203P,AOL204N,AOL204P,AOL205N,AOL205P,AOL206N,AOL206P,AOL207N,AOL207P,AOL208N,AOL208P,AOL209N,AOL209P,AOL210N,AOL210P,AOL2N8N,AOL2N8P,AOL2N9N,AOL2N9P,ATIM_MN,ATIM_SD,CLOS01N,CLOS01P,CLOS02N,CLOS02P,CLOS03N,CLOS03P,CLOS04N,CLOS04P,CLOS05N,CLOS05P,AFRM01N,AFRM01P,AFRM02N,AFRM02P,AFRM03N,AFRM03P,AFRM04N,AFRM04P,AFRM05N,AFRM05P,AFRM06N,AFRM06P,AFRM07N,AFRM07P,AFRM08N,AFRM08P,AFRM09N,AFRM09P,AFRM10N,AFRM10P,AFRM11N,AFRM11P,AFRMN8N,AFRMN8P,AFRMN9N,AFRMN9P,AFRQ01N,AFRQ01P,AFRQ02N,AFRQ02P,AFRQ03N,AFRQ03P,AFRQ04N,AFRQ04P,AFRQ05N,AFRQ05P,AFRQ06N,AFRQ06P,AFRQ07N,AFRQ07P,AREL01N,AREL01P,AREL02N,AREL02P,AREL03N,AREL03P,AREL04N,AREL04P,AREL05N,AREL05P,AREL06N,AREL06P,AREL07N,AREL07P,AREL08N,AREL08P,AREL09N,AREL09P,AREL10N,AREL10P,AREL11N,AREL11P,AREL12N,AREL12P,AREL13N,AREL13P,ALIV01N,ALIV01P,ALIV02N,ALIV02P,ALIV03N,ALIV03P,ALIV04N,ALIV04P,ALIV05N,ALIV05P,ALIV06N,ALIV06P,ALIV07N,ALIV07P,ACITN8N,ACITN8P,ACITN9N,ACITN9P,APRO01N,APRO01P,APRO02N,APRO02P,ASMO01N,ASMO01P,ASMO02N,ASMO02P,TIEDCA,TIEDCM,TIECCA,TIECCM,TIEBCA,TIEBCM,TIEISO,TIEDYD,TIECMP,TIEDEN,TIEDC,TIECC,TIEBC,TIECND,TIECCZ,DSET,COUNTRY,SCALEV,SCALEA,NEI1,NEI2,NEI3,NEI4,NEI5,NEI6,NEI7,NEI8,NEI9,NE10,NE11,NE12,APRON8N,APRON8P,APRON9N,APRON9P,ASMO03N,ASMO03P,ASMO04N,ASMO04P,SPOUS,CYEAR,LVIS,LANG,HMON,GSPE,EXER,NDOC,OMED,WOR1,WOR2,WOR3,CHNG,TRAN,TRN2,ACON01N,ACON01P,ACON02N,ACON02P,ACON03N,ACON03P,ACON04N,ACON04P,ACON05N,ACON05P,ACONN8N,ACONN8P,ACONN9N,ACONN9P,AHLP01N,AHLP01P,AHLP02N,AHLP02P,AHLPN8N,AHLPN8P,AHLPN9N,AHLPN9P,CLOSN8N,CLOSN8P,CLOSN9N,CLOSN9P,AFRQN8N,AFRQN8P,AFRQN9N,AFRQN9P,ARELN8N,ARELN8P,ARELN9N,ARELN9P,NBORN,NMOM,NDAD,SPA2,ACOUNTRY,ICOM,IETH,ICUB,AFRM12N,AFRM12P,ALIV08N,ALIV08P,ALIV09N,ALIV09P,ALIV11N,ALIV11P,ALIV12N,ALIV12P,APRO00N,APRO00P,ASMO00N,ASMO00P,CANY,SPENJ,IGRP,AFRM13N,AFRM13P,ALIV10N,ALIV10P,ALIV13N,ALIV13P,TIEQ,SPANISH,HEAL2,SCLAEA,GROUP,SMOKE,DEPRESS,YDOC,FIRSTGEN,STRONG,SEEWEEK,FAMILY,ABOVE50,DOMINICA,WHITE,NEVMAR,EMPLOY,EDUCATIO,ASMOKE,MOS,AOS,ACCULTUR,ALEVEL,FMIG2
10980,70,pu,usa,0.055630020062783,Unclear,43.9555555555556,0.01104455406781,0.999012345679012,0.011017148226451,-0.045454545449742,0.596918826988087,1,1,3.26315789473684,38,2.5,2,2,33,1,3,3,4,1,1,3,3,4,0,0,0,5,5,5,5,5,5,1,1,5,1,2,5,1,5,5,1,4,5,5,5,5,1,5,3,5,1,5,5,2,4,2,1,2,1.64051357976961E-303,145,1.64051357977013E-303,1,2,1,1,1,1,1,,1,1,2,4,3,5,2,21,0.46667,24,0.53333,,,,,40,0.88889,5,0.11111,0,0,0,0,0,0,1,0.02222,13,0.28889,15,0.33333,10,0.22222,4,0.08889,2,0.04444,0,0,0,0,0,0,,,,,,,13,0.28889,13,0.28889,2,0.04444,1,0.02222,16,0.35556,0,0,38,0.84444,0,0,0,0,0,0,0,0,0,0,1,0.02222,0,0,2,0.04444,1,0.02222,,,,,5,0.11111,24,0.53333,3,0.06667,4,0.08889,2,0.04444,1,0.02222,6,0.13333,3,0.06667,23,0.51111,2,0.04444,1,0.02222,2,0.04444,1,0.02222,11,0.24444,0,0,0,0,0,0,0,0,1,0.02222,1,0.02222,0,0,41,0.91111,0,0,0,0,0,0,0,0,0,0,,,,,22,0.48889,23,0.51111,34,0.75556,6,0.13333,47.27273,91,65.82,91.67,1.3,7.35,0,0,1,0.47273,55.1797,53.48127,6.19069,20,0.72,rc2pre,,,,2,4,0,,,,,,,,,,,,,,,,,1,0.02222,4,0.08889,1,1.64051357977013E-303,0,,1,5,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,14,0.31111,29,0.64444,2,0.04444,0,0,0,0,,,,,27,0.6,18,0.4,,,,,,,,,,,,,,,,,2,8,8,,us,,,,,,,3,0.06667,1,0.02222,0,0,2,0.04444,0
11025,71,pu,usa,0.768074741500056,Standard,43.9555555555556,0.004361462666531,0.999012345679012,0.000234907211651,-0.045454545449742,0.385350343568799,1,1,4.34615384615385,26,4.3,10,2,25,3,3,3,1,2,2,3,3,4,1.64051357977012E-303,0,0,4,3,4,4,4,4,2,3,5,2,1,3,1,4,5,2,4,5,5,5,2,2,5,2,2,1,5,2,1,-99,-99,2,1,67,130,1.64051357977013E-303,1,1,1,1,1,1,1,,4,1,-99,4,2,0,6,25,0.55556,20,0.44444,,,,,0,0,6,0.13333,0,0,39,0.86667,0,0,2,0.04444,24,0.53333,15,0.33333,4,0.08889,0,0,0,0,0,0,0,0,0,0,,,,,,,24,0.53333,14,0.31111,4,0.08889,2,0.04444,1,0.02222,0,0,26,0.57778,0,0,0,0,0,0,8,0.17778,0,0,0,0,0,0,10,0.22222,1,0.02222,,,,,2,0.04444,18,0.4,10,0.22222,2,0.04444,13,0.28889,0,0,0,0,0,0,0,0,3,0.06667,1,0.02222,0,0,0,0,3,0.06667,0,0,0,0,2,0.04444,30,0.66667,0,0,6,0.13333,0,0,45,1,0,0,0,0,0,0,0,0,0,0,,,,,7,0.15556,38,0.84444,35,0.77778,9,0.2,0.90909,7,233.69,1200,0.02,0.42,32,4,1,0.00909,104.54545,1961.13987,0.39641,0,0.98,rdpre,,,,,2,2,3,,,,,,,,,,,,,,,,,1,0.02222,0,0,-99,1.64051357977013E-303,1.64051357977013E-303,,-99,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,40,0.88889,5,0.11111,0,0,0,0,0,0,,,,,4,0.08889,41,0.91111,,,,,,,,,,,,,,,,,8,8,8,,us,,,,,,,0,0,0,0,0,0,0,0
11070,72,pu,usa,-0.376961484062525,Inverted,43.9555555555556,0.002133045330917,0.999012345679012,0.000587268029128,-0.045454545449742,0.35968932467817,1,1,2.30434782608696,23,2.55555555555556,9,2,51,3,3,3,2,4,4,7,3,4,3,0,0,5,4,4,5,5,5,4,5,5,4,5,5,4,5,3,4,4,5,5,5,4,4,5,3,4,1,1,1,3,5,2,2,4,57,1.64051357976956E-303,1.64051357977013E-303,2,1,1,1,2,1,1,,4,1,2,4,2,6,6,19,0.42222,26,0.57778,,,,,21,0.46667,5,0.11111,19,0.42222,0,0,0,0,1,0.02222,9,0.2,10,0.22222,10,0.22222,10,0.22222,5,0.11111,0,0,0,0,0,0,,,,,,,2,0.04444,2,0.04444,18,0.4,13,0.28889,10,0.22222,0,0,23,0.51111,0,0,0,0,0,0,4,0.08889,3,0.06667,0,0,0,0,9,0.2,5,0.11111,,,,,14,0.31111,11,0.24444,6,0.13333,6,0.13333,5,0.11111,1,0.02222,1,0.02222,1,0.02222,17,0.37778,2,0.04444,0,0,0,0,1,0.02222,4,0.08889,0,0,0,0,1,0.02222,0,0,1,0.02222,18,0.4,0,0,39,0.86667,0,0,0,0,0,0,0,0,0,0,,,,,23,0.51111,22,0.48889,11,0.24444,19,0.42222,2.52525,23,17.29,75,0.32,7.53,29,0,1,0.02525,90.47619,90.95014,7.33498,0,0.95,rc2pre,,,,2,2,2,,,,,,,,,,,,,,,,,8,0.17778,7,0.15556,3,1.64051357977012E-303,1.64051357977013E-303,,2,150,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,10,0.22222,34,0.75556,0,0,0,0,1,0.02222,,,,,23,0.51111,22,0.48889,,,,,,,,,,,,,,,,,8,8,8,,us,,,,,,,0,0,0,0,0,0,1,0.02222,2017
11115,73,pu,usa,-0.275319948987747,Inverted,43.9555555555556,0.000352360817477,0.999012345679012,0.000352360817477,-0.045454545449742,0.3359854367996,1,1,2.62962962962963,27,2.125,16,1,38,3,3,3,3,1,1,2,5,4,70,2,0,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,3,4,5,5,5,5,2,5,3,4,1,1,4,1,-99,-99,2,4,1.64051357976965E-303,1.64051357976955E-303,1.64051357977013E-303,1,1,1,1,1,1,1,,3,1,-99,4,2,0,2,27,0.6,18,0.4,,,,,18,0.4,15,0.33333,12,0.26667,0,0,0,0,0,0,0,0,5,0.11111,21,0.46667,12,0.26667,6,0.13333,0,0,0,0,0,0,,,,,,,2,0.04444,4,0.08889,18,0.4,14,0.31111,7,0.15556,0,0,27,0.6,0,0,0,0,0,0,1,0.02222,0,0,0,0,0,0,16,0.35556,0,0,,,,,2,0.04444,2,0.04444,4,0.08889,4,0.08889,9,0.2,13,0.28889,11,0.24444,1,0.02222,2,0.04444,6,0.13333,4,0.08889,4,0.08889,1,0.02222,1,0.02222,0,0,2,0.04444,23,0.51111,0,0,0,0,1,0.02222,0,0,45,1,0,0,0,0,0,0,0,0,0,0,,,,,24,0.53333,21,0.46667,10,0.22222,26,0.57778,1.41414,9,398.77,1700,0.08,1.69,27,5,1,0.01414,102.20588,3045.62492,1.69133,0,0.97,rc1pre,,,,2,0,0,,,,,,,,,,,,,,,,,1,0.02222,8,0.17778,2,84,1.64051357977013E-303,,-99,0,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,12,0.26667,30,0.66667,0,0,0,0,3,0.06667,,,,,18,0.4,27,0.6,,,,,,,,,,,,,,,,,8,8,8,,us,,,,,,,0,0,0,0,0,0,0,0,1950
11160,74,pu,usa,0.312498479575849,Standard,43.9555555555556,0.003028908543617,0.999012345679012,0.002184637068358,-0.045454545449742,0.385154560066586,1,1,3.83333333333333,12,3.23529411764706,17,2,22,3,3,1,1,0,0,3,3,4,1.64051357977013E-303,0,0,5,4,4,3,2,5,1,5,5,3,2,5,1,5,5,2,2,5,5,5,3,2,5,2,3,1,5,3,1,-99,-99,1,4,60,110,1.64051357977013E-303,2,2,1,2,2,1,1,,3,1,-99,4,2,0,5,19,0.42222,26,0.57778,,,,,27,0.6,2,0.04444,14,0.31111,2,0.04444,2,0.04444,6,0.13333,24,0.53333,5,0.11111,3,0.06667,4,0.08889,1,0.02222,0,0,0,0,0,0,,,,,,,9,0.2,22,0.48889,11,0.24444,2,0.04444,1,0.02222,1,0.02222,12,0.26667,0,0,0,0,0,0,0,0,2,0.04444,0,0,0,0,17,0.37778,12,0.26667,,,,,3,0.06667,4,0.08889,2,0.04444,5,0.11111,5,0.11111,12,0.26667,14,0.31111,1,0.02222,10,0.22222,3,0.06667,7,0.15556,3,0.06667,0,0,0,0,0,0,0,0,10,0.22222,5,0.11111,3,0.06667,3,0.06667,1,0.02222,36,0.8,0,0,0,0,0,0,0,0,0,0,,,,,10,0.22222,35,0.77778,21,0.46667,3,0.06667,9.39394,34,468.7,3300,0.22,4.73,11,2,3,0.09394,88.63636,6126.92261,4.5845,7,0.91,rc2pre,,,,2,3,4,,,,,,,,,,,,,,,,,10,0.22222,11,0.24444,-99,0,1.64051357977013E-303,,-99,0,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,20,0.44444,19,0.42222,0,0,6,0.13333,0,0,,,,,9,0.2,36,0.8,,,,,,,,,,,,,,,,,8,2,8,,us,,,,,,,1,0.02222,0,0,0,0,3,0.06667,0
11205,75,pu,usa,-0.03334939527842,Unclear,43.9555555555556,0.01408204668247,0.999012345679012,0.01256753582335,-0.045454545449742,0.675251149644725,1,1,3.1875,16,0,0,1,43,3,3,3,1,3,3,6,1,4,1.64051357977012E-303,10,0,4,4,5,5,5,5,4,4,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,4,4,1,5,4,3,1,1,1,3,57,1.64051357976954E-303,1.64051357977337E-303,1,1,1,2,1,1,1,,3,1,2,1,2,10,2,33,0.73333,12,0.26667,,,,,23,0.51111,6,0.13333,14,0.31111,2,0.04444,1,0.02222,0,0,4,0.08889,3,0.06667,6,0.13333,1,0.02222,0,0,0,0,0,0,0,0,,,,,,,17,0.37778,0,0,17,0.37778,1,0.02222,10,0.22222,27,0.6,16,0.35556,0,0,0,0,0,0,2,0.04444,0,0,0,0,0,0,0,0,0,0,,,,,7,0.15556,6,0.13333,1,0.02222,0,0,0,0,0,0,2,0.04444,4,0.08889,29,0.64444,1,0.02222,8,0.17778,1,0.02222,0,0,2,0.04444,0,0,0,0,0,0,0,0,0,0,0,0,29,0.64444,16,0.35556,0,0,0,0,0,0,0,0,0,0,,,,,36,0.8,9,0.2,25,0.55556,6,0.13333,54.04041,77,194.27,537.5,0.23,5.48,1,0,2,0.5404,45.51495,707.26047,5.37955,31,0.86,rc2pre,,,,2,4,5,,,,,,,,,,,,,,,,,7,0.15556,7,0.15556,-99,1.64051357977012E-303,1.64051357977013E-303,,1,1.64051357976955E-303,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,24,0.53333,17,0.37778,2,0.04444,2,0.04444,0,0,,,,,33,0.73333,12,0.26667,,,,,,,,,,,,,,,,,8,8,8,,us,,,,,,,0,0,0,0,0,0,0,0,0
11250,76,pu,usa,-0.066795464798237,Unclear,43.9555555555556,0.007506859813627,0.999012345679012,0.006037115339441,-0.045454545449742,0.489698991806206,1,1,3.29411764705882,17,3,10,2,30,3,2,2,2,0,0,3,1,4,1.64051357977013E-303,0,0,5,4,4,4,4,5,3,5,5,2,3,5,4,5,5,4,5,5,1,1,5,5,3,3,3,3,4,4,1,-99,-99,2,1,64,1.64051357976954E-303,1.64051357977013E-303,1,1,1,1,1,1,1,,3,1,-99,4,2,0,6,20,0.44444,25,0.55556,,,,,34,0.75556,9,0.2,2,0.04444,0,0,0,0,0,0,16,0.35556,15,0.33333,3,0.06667,10,0.22222,1,0.02222,0,0,0,0,0,0,,,,,,,8,0.17778,10,0.22222,12,0.26667,5,0.11111,10,0.22222,0,0,17,0.37778,0,0,0,0,0,0,13,0.28889,0,0,0,0,0,0,10,0.22222,5,0.11111,,,,,15,0.33333,5,0.11111,10,0.22222,1,0.02222,3,0.06667,4,0.08889,7,0.15556,1,0.02222,18,0.4,6,0.13333,6,0.13333,3,0.06667,0,0,1,0.02222,0,0,0,0,3,0.06667,2,0.04444,0,0,5,0.11111,0,0,40,0.88889,0,0,0,0,0,0,0,0,0,0,,,,,24,0.53333,21,0.46667,43,0.95556,1,0.02222,25.85859,61,140,740,0.68,8.69,7,0,2,0.25859,67.11712,1243.22405,8.09265,10,0.77,rdpre,,,,,2,4,4,,,,,,,,,,,,,,,,,0,0,1,0.02222,1,0,1.64051357977013E-303,,-99,0,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,16,0.35556,18,0.4,0,0,11,0.24444,0,0,,,,,15,0.33333,30,0.66667,,,,,,,,,,,,,,,,,8,6,6,,us,,,,,,,0,0,0,0,0,0,5,0
11295,77,pu,usa,-0.123021815950347,Unclear,43.9555555555556,0.00261888246691,0.999012345679012,0.001409443269908,-0.045454545449742,0.371921917478256,1,1,2.57692307692308,26,3.14285714285714,7,1,34,1,3,4,2,0,0,5,1,4,0,1,0,4,4,5,5,3,5,2,5,5,3,3,5,2,3,5,3,2,5,4,1,3,1,3,1,4,1,4,4,1,-99,-99,1,1,80,1.64051357976956E-303,1.64051357977013E-303,1,1,1,1,1,1,1,,4,1,-99,4,2,0,6,21,0.46667,24,0.53333,,,,,21,0.46667,12,0.26667,9,0.2,3,0.06667,0,0,1,0.02222,9,0.2,17,0.37778,11,0.24444,4,0.08889,2,0.04444,1,0.02222,0,0,0,0,,,,,,,6,0.13333,12,0.26667,17,0.37778,1,0.02222,9,0.2,0,0,26,0.57778,0,0,0,0,0,0,5,0.11111,0,0,0,0,1,0.02222,7,0.15556,4,0.08889,,,,,11,0.24444,10,0.22222,2,0.04444,2,0.04444,4,0.08889,9,0.2,7,0.15556,1,0.02222,7,0.15556,2,0.04444,25,0.55556,0,0,0,0,6,0.13333,0,0,0,0,2,0.04444,0,0,0,0,2,0.04444,0,0,42,0.93333,0,0,0,0,0,0,0,0,0,0,,,,,14,0.31111,31,0.68889,38,0.84444,3,0.06667,5.9596,18,161.48,1200,1.29,11.73,8,0,3,0.0596,96.3492,2118.98441,10.50312,1,0.89,rcpre,,,,,2,3,3,,,,,,,,,,,,,,,,,3,0.06667,1,0.02222,3,0,1.64051357977013E-303,,-99,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,30,0.66667,11,0.24444,0,0,1,0.02222,3,0.06667,,,,,19,0.42222,26,0.57778,,,,,,,,,,,,,,,,,2,9,8,,us,,,,,,,0,0,0,0,0,0,2,0
11340,1,ar,sp,0.403790127401736,Standard,7.42857142857143,0.044599303135889,0.376148281475909,0.044599303135889,-0.031861759870599,0.610220576058628,1,1,3.8125,32,3.3,10,1,39,2,2,2,2,0,,2,1,4,2002,2,0,5,3,4,4,4,3,3,4,1,1,4,3,5,3,3,5,5,3,5,5,5,1,5,3,3,1,5,1,1,8,2,1,1,175,75,2004,1,2,2,1,1,2,2,0,1,1,2,1,2,3,2,28,0.62222,17,0.37778,0,0,0,0,42,0.93333,0,0,3,0.06667,0,0,0,0,0,0,15,0.33333,21,0.46667,4,0.08889,3,0.06667,2,0.04444,0,0,0,0,0,0,0,0,0,0,2.4222,1.3248,14,0.31111,18,0.4,10,0.22222,2,0.04444,1,0.02222,32,0.71111,10,0.22222,3,0.06667,0,0,0,0,,,,,,,,,,,,,0,0,0,0,7,0.15556,3,0.06667,13,0.28889,1,0.02222,11,0.24444,8,0.17778,2,0.04444,1,0.02222,0,0,7,0.15556,4,0.08889,2,0.04444,0,0,6,0.13333,0,0,0,0,25,0.55556,0,0,0,0,0,0,44,0.97778,0,0,1,0.02222,0,0,0,0,,,,,0,0,0,0,6,0.13333,39,0.86667,18,0.4,27,0.6,7.17172,27,747.73,3500,0.11,4.12,9,2,5,0.07172,93.94958,5406.29692,4.09227,1,0.88,l2aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13,13,5,spain,,,,,,,,,,,,,0
11385,2,ar,sp,-0.055630020062763,Unclear,7.51111111111111,0.034813248766737,0.359512200825469,0.034813248766737,0.131847627710625,0.588268530055522,2,0.955555555555556,2.32,25,3.33333333333333,9,2,40,2,2,2,1,0,,2,5,4,4,2,0,3,3,5,5,4,4,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,1,5,4,2,2,4,2,1,8,2,2,1,169,64,2005,1,1,1,1,1,2,1,0,1,1,2,1,1,3,2,21,0.46667,24,0.53333,0,0,0,0,38,0.84444,1,0.02222,6,0.13333,0,0,0,0,0,0,9,0.2,11,0.24444,15,0.33333,5,0.11111,5,0.11111,0,0,0,0,0,0,0,0,0,0,3.5333,4.1344,4,0.08889,13,0.28889,26,0.57778,2,0.04444,0,0,25,0.55556,9,0.2,5,0.11111,4,0.08889,2,0.04444,,,,,,,,,,,,,0,0,0,0,0,0,1,0.02222,5,0.11111,8,0.17778,22,0.48889,8,0.17778,1,0.02222,0,0,6,0.13333,5,0.11111,10,0.22222,4,0.08889,1,0.02222,3,0.06667,0,0,6,0.13333,8,0.17778,1,0.02222,0,0,1,0.02222,43,0.95556,0,0,0,0,2,0.04444,0,0,,,,,1,0.02222,0,0,31,0.68889,14,0.31111,10,0.22222,35,0.77778,10.90909,25,730.22,4400,3.74,41.12,0,3,2,0.10909,93.23467,7593.64319,38.22185,3,0.82,l2aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13,13,5,spain,,,,,,,,,,,,,2016
11430,3,ar,sp,0.215320849189454,Standard,6.68292682926829,0.032770481550969,0.450082382236394,0.032770481550969,-0.164267537623787,0.643860009543753,1,1,3.72222222222222,18,3.19047619047619,21,1,281,2,3,3,1,1,0,2,1,3,2002,0,0,4,3,5,5,3,3,5,3,5,3,5,3,5,1,3,4,5,4,1,1,4,2,4,3,4,2,4,1,1,8,2,1,3,163,60,2003,1,1,1,1,1,1,4,0,3,1,2,2,1,0,2,18,0.4,27,0.6,0,0,0,0,37,0.82222,1,0.02222,7,0.15556,0,0,0,0,2,0.04444,17,0.37778,9,0.2,14,0.31111,0,0,3,0.06667,0,0,0,0,0,0,0,0,0,0,2.5111,2.9183,5,0.11111,23,0.51111,2,0.04444,9,0.2,6,0.13333,18,0.4,21,0.46667,4,0.08889,1,0.02222,1,0.02222,,,,,,,,,,,,,0,0,0,0,0,0,6,0.13333,7,0.15556,11,0.24444,5,0.11111,14,0.31111,2,0.04444,0,0,0,0,0,0,5,0.11111,1,0.02222,0,0,0,0,1,0.02222,3,0.06667,20,0.44444,0,0,1,0.02222,14,0.31111,45,1,0,0,0,0,0,0,0,0,,,,,0,0,0,0,13,0.28889,32,0.71111,18,0.4,27,0.6,13.73737,45,40.82,64.52,2.48,34.19,4,0,1,0.13737,87.69231,47.25316,32.27259,7,0.86,l2aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,14,14,4,spain,,,,,,,,,,,,,0
11475,4,ar,sp,-0.123021815950347,Unclear,5.63636363636364,0.054545454545455,0.702937956280202,0.054545454545455,-0.47811009969658,0.723425625384912,1,1,3.2,15,2.48275862068966,29,1,38,2,2,2,3,3,0,5,2,4,2002,0,1,5,3,4,4,4,3,1,1,5,3,5,2,1,1,2,4,5,5,5,5,5,1,5,3,5,1,5,1,3,5,2,1,1,172,73,2005,1,1,1,1,1,1,1,0,3,1,2,5,1,3,2,26,0.57778,19,0.42222,0,0,0,0,37,0.82222,3,0.06667,5,0.11111,0,0,1,0.02222,4,0.08889,9,0.2,18,0.4,10,0.22222,2,0.04444,0,0,1,0.02222,0,0,0,0,0,0,0,0,11.5333,10.7261,0,0,11,0.24444,2,0.04444,22,0.48889,10,0.22222,15,0.33333,29,0.64444,0,0,1,0.02222,0,0,,,,,,,,,,,,,0,0,0,0,6,0.13333,1,0.02222,10,0.22222,7,0.15556,11,0.24444,10,0.22222,0,0,1,0.02222,1,0.02222,4,0.08889,6,0.13333,0,0,0,0,5,0.11111,0,0,0,0,2,0.04444,0,0,0,0,26,0.57778,18,0.4,26,0.57778,0,0,1,0.02222,0,0,,,,,0,0,0,0,11,0.24444,34,0.75556,6,0.13333,39,0.86667,3.0303,20,16.87,90.91,0.07,1.02,34,0,1,0.0303,55.55556,50.82591,0.82528,0,0.94,l2aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13,13,4,spain,,,,,,,,,,,,,0
11520,5,ar,sp,0.044482540400536,Unclear,14,0.020460418134837,0.547169825208088,0.020460418134837,-0.108936235378956,0.804271330523994,1,1,3.38095238095238,21,2.66666666666667,21,1,77,2,4,4,2,2,0,3,4,4,2002,0,0,5,1,2,2,5,4,4,3,5,2,3,2,2,1,1,5,4,4,3,3,5,1,4,2,2,3,5,3,2,5,2,3,2,168,86,2005,2,2,1,1,2,1,3,1,1,1,2,1,1,0,2,26,0.57778,19,0.42222,0,0,0,0,45,1,0,0,0,0,0,0,0,0,4,0.08889,1,0.02222,7,0.15556,6,0.13333,11,0.24444,12,0.26667,3,0.06667,1,0.02222,0,0,0,0,0,0,18.0444,15.6474,1,0.02222,22,0.48889,12,0.26667,6,0.13333,4,0.08889,21,0.46667,21,0.46667,1,0.02222,2,0.04444,0,0,,,,,,,,,,,,,0,0,0,0,5,0.11111,5,0.11111,12,0.26667,9,0.2,4,0.08889,10,0.22222,0,0,1,0.02222,10,0.22222,1,0.02222,0,0,1,0.02222,1,0.02222,1,0.02222,0,0,1,0.02222,1,0.02222,0,0,0,0,28,0.62222,30,0.66667,11,0.24444,2,0.04444,2,0.04444,0,0,,,,,0,0,0,0,17,0.37778,28,0.62222,11,0.24444,34,0.75556,30.40404,82,54.27,84.62,2.08,29.16,0,0,1,0.30404,72.83298,62.79505,27.69311,12,0.73,l2aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,14,14,5,spain,,,,,,,,,,,,,0
